Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_014133895.1	ASM1413389v1	Torulaspora globosa		CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
GCA_011074865.2	ASM1107486v2	Brettanomyces nanus		CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
GCA_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola		HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCA_963989305.1	lodBeiA1	Lodderomyces beijingensis		CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
GCA_029542985.1	ASM2954298v1	Malassezia brasiliensis		CBS 14135					Annotation submitted by Duke University	Complete Genome	2023-04-03		7
GCA_051805555.1	RnylJCM10213v2	Rhodosporidiobolus nylandii		JCM10213					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
GCA_029542945.1	ASM2954294v1	Malassezia obtusa		CBS 7876					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542805.1	ASM2954280v1	Malassezia cuniculi		CBS 11721					Annotation submitted by Duke University	Complete Genome	2023-04-03		6
GCA_029542765.1	ASM2954276v1	Malassezia psittaci		CBS 14136					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542965.1	ASM2954296v1	Malassezia yamatoensis		CBS 9725					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542885.1	ASM2954288v1	Malassezia caprae		CBS 10434					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_051599415.1	Sav_pha_PYCC9005_v1	Savitreella phatthalungensis		PYCC_9005					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-19		27
GCA_000146045.2	R64	Saccharomyces cerevisiae S288C		S288C					SGD R64-4-1	Complete Genome	2011-04-18		16
GCA_000002985.3	WBcel235	Caenorhabditis elegans		Bristol N2					Annotation submitted by C. elegans Sequencing Consortium	Complete Genome	2013-02-07		6
GCA_030704535.1	ASM3070453v1	Vitis vinifera			Pinot Noir 40024				Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences	Complete Genome	2023-08-09		19
GCA_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
GCA_022201045.1	DVS_A1.0	Citrus sinensis			Valencia sweet orange				Annotation submitted by Clemson University	Complete Genome	2022-02-11	JAHMIS01	9
GCA_009017415.1	ASM901741v1	Aspergillus flavus		NRRL 3357					Annotation submitted by University of California, Berkeley	Complete Genome	2019-10-13		8
GCA_001761485.1	ASM176148v1	Yarrowia lipolytica		CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
GCA_000143535.4	ASM14353v4	Botrytis cinerea B05.10		B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
GCA_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042		DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
GCA_016906535.1	ASM1690653v1	Rhizoctonia solani		AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
GCA_000002725.2	ASM272v2	Leishmania major strain Friedlin		Friedlin					Annotation submitted by Friedlin Consortium	Complete Genome	2011-02-14		36
GCA_051132755.1	XTBG_Pame_1.0	Persea americana			West Indian				Annotation submitted by Xishuangbanna Tropical Botanical Garden, CAS	Complete Genome	2025-06-28		12
GCA_020647865.1	ASM2064786v1	Trichoderma asperellum		FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_020647795.1	ASM2064779v1	Trichoderma atroviride		P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_900002385.2	GCA_900002385	Plasmodium yoelii		17X					Annotation submitted by WTSI	Complete Genome	2019-06-04		14
GCA_009556855.1	ASM955685v1	Talaromyces marneffei					11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
GCA_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D		10D					Annotation submitted by National Institute of Genetics, Japan	Complete Genome	2007-07-11		20
GCA_049350635.1	PBN-43_hap1	Xanthoceras sorbifolium					PBN-43		Annotation submitted by Peking University-Institute of Advanced Agricultural Science	Complete Genome	2025-04-08	JBMIRF01	15
GCA_000687475.2	ASM68747v2	Ustilaginoidea virens		UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum		ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_030272155.1	ASM3027215v1	Tetradesmus obliquus		DOE0152z					Annotation submitted by Los Alamos National Laboratory	Complete Genome	2023-06-14		17
GCA_026914185.1	ASM2691418v1	Puccinia triticina		Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
GCA_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
GCA_016767815.1	ASM1676781v1	Penicillium digitatum		PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
GCA_036867785.1	ULAVAL_Pb3A	Plasmodiophora brassicae		3A					Annotation submitted by University Laval	Complete Genome	2024-02-25		20
GCA_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis		IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_050947715.1	ASM5094771v1	Hanseniaspora uvarum		AWRI5759_A6					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMWUE01	7
GCA_011074885.2	ASM1107488v2	Brettanomyces bruxellensis		UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
GCA_003290485.1	ASM329048v1	Malassezia restricta		KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
GCA_033473495.1	ASM3347349v1	Cercospora beticola					Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
GCA_033870435.1	ASM3387043v1	Sordaria macrospora		SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
GCA_000836335.2	ASM83633v2	Cryptococcus bacillisporus CA1280		CA1280					Annotation submitted by Broad Institute	Complete Genome	2024-05-09		14
GCA_051312685.1	HcG217B_UCSF2	Histoplasma ohiense (nom. inval.)		G217B-UCSF2					Annotation submitted by University of California, San Francisco	Complete Genome	2025-07-14	JBNOKK01	7
GCA_051103115.1	ASM5110311v1	Cordyceps javanica		Apopka 97					Annotation submitted by Swansea University	Complete Genome	2025-06-26		7
GCA_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri		M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_051805505.1	RkraJCM10450v2	Rhodotorula kratochvilovae		JCM10450					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
GCA_049487715.1	Version 1	Pycnococcus provasolii		CCMP1203					Annotation submitted by Universite Laval	Complete Genome	2025-04-11		45
GCA_038181435.1	ASM3818143v1	Fusarium acuminatum					1A		Annotation submitted by Beijing Forestry University	Complete Genome	2024-04-15		11
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1		Fl1					Annotation submitted by Massey University	Complete Genome	2018-11-23		7
GCA_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895		ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
GCA_045014175.1	ASM4501417v1	Kerria lacca					LAC	female	Annotation submitted by Institute of Highland Forest Science, Chinese Academy of Forestry	Complete Genome	2024-11-18		9
GCA_050947815.1	OSU_Fsam_2.1	Fusarium sambucinum					potato_lamoka		Annotation submitted by Oregon State University	Complete Genome	2025-06-17	JBNNPX01	4
GCA_052084505.1	ASM5208450v1	Trichoderma asperelloides		X01119					Annotation submitted by Nanjing Agricultural University	Complete Genome	2025-08-18	JBPWNV01	7
GCA_004011695.2	ASM401169v2	Ascochyta rabiei					Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
GCA_051805495.1	RsphJCM8202v2	Rhodotorula sphaerocarpa		JCM8202					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei		Crithidia deanei Carvalho (ATCC PRA-265)					Annotation submitted by York	Complete Genome	2020-08-21		29
GCA_016952355.1	ASM1695235v1	Fusarium culmorum		Class2-1B					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2020-11-16		4
GCA_013426205.1	ASM1342620v1	Metarhizium brunneum		4556					Annotation submitted by Swansea University	Complete Genome	2020-07-20		7
GCA_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku		Shintoku					Annotation submitted by Research Center for Zoonosis Control, Hokkaido University	Chromosome	2012-09-05		4
GCA_034359265.1	ASM3435926v1	Canna indica							Annotation submitted by Guizhou University	Complete Genome	2023-12-13		9
GCA_034447905.1	ASM3444790v1	Colletotrichum destructivum		CBS 520.97					Annotation submitted by INRAE	Complete Genome	2023-12-18		12
GCA_026184415.1	ASM2618441v1	Trichothecium roseum		YXFP-22015					Annotation submitted by National Biopesticide Engineering Technology Research Centre, Hubei Academy of Agricultural Sciences	Complete Genome	2022-11-21	JAOAPZ01	11
GCA_026873545.1	ASM2687354v1	Fusarium falciforme		Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
GCA_050947685.1	ASM5094768v1	Hanseniaspora vineae		AWRI5769_A2					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJG01	7
GCA_024970365.1	ASM2497036v1	Leishmania guyanensis		M4147					Annotation submitted by University of Missouri	Complete Genome	2022-09-06		35
GCA_023205875.1	ASM2320587v1	Chloropicon primus		RCC138					Annotation submitted by Illinois Institute of Technology	Complete Genome	2022-05-02		20
GCA_964275055.1	MOSE0	Monosporozyma servazzii							Annotation submitted by Genoscope	Complete Genome	2024-10-10		14
GCA_020509005.2	Cfulv_R5_v5	Fulvia fulva		Race5_Kim					Annotation submitted by University of California	Complete Genome	2022-01-24		14
GCA_000755165.2	ASM75516v2	Leishmania panamensis		MHOM/PA/94/PSC-1					Annotation submitted by INDICASAT-AIP	Complete Genome	2025-06-09		35
GCA_041154625.1	CerSpe_IZO01_v1.0	Prunus speciosa					IZO01		Annotation submitted by National Institute of Genetics	Complete Genome	2024-06-23		8
GCA_050084535.1	PCAv2.0	Prunus campanulata			Lianmeiren				Annotation submitted by Zhejiang Academy of Forestry	Complete Genome	2025-05-01	JBKKFS01	8
GCA_023278565.1	ASM2327856v1	Colletotrichum lupini		IMI 504893					Annotation submitted by University of Western Brittany	Complete Genome	2022-05-09		11
GCA_023920165.1	ASM2392016v1	Curvularia clavata		yc1106					Annotation submitted by Guizhou Academy of Tobacco Science	Complete Genome	2022-06-27		8
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae		CRI 24-3					Annotation submitted by Guangdong Academy of Agricultural Sciences	Complete Genome	2022-04-25		12
GCA_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis		MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_042100115.1	ASM4210011v1	Alternaria dauci		A2016					Annotation submitted by Peking University	Complete Genome	2024-09-24	JBHGVX01	10
GCA_022605165.1	ASM2260516v1	Purpureocillium takamizusanense		PT3					Annotation submitted by Tokyo University of Science	Complete Genome	2022-03-17		14
GCA_007735645.1	ASM773564v1	Venturia effusa		albino					Annotation submitted by Massey University	Complete Genome	2019-07-31		20
GCA_009938135.1	ASM993813v1	Malassezia furfur					CBS14141		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	Complete Genome	2020-01-28		7
GCA_036417295.1	ASM3641729v1	Cryptococcus decagattii		7685027					Annotation submitted by Broad Institute	Complete Genome	2024-02-06		14
GCA_050947605.1	ASM5094760v1	Hanseniaspora guilliermondii		AWRI5769_F8					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJD01	7
GCA_050947625.1	ASM5094762v1	Hanseniaspora opuntiae		AWRI5769_E9					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJE01	7
GCA_001984395.2	ASM198439v2	Zygosaccharomyces parabailii		ATCC 60483					Annotation submitted by Wolfe Lab	Complete Genome	2017-03-16		17
GCA_900080155.1	UBRO_v3	Ustilago bromivora		UB2112					Annotation submitted by Institute of Bioinformatics and Systems Biology	Complete Genome	2016-11-03		23
GCA_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329		PYCC6329					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		3
GCA_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		6
GCA_046529785.1	ASM4652978v1	Rhynchosporium graminicola		WAI453					Annotation submitted by Australian National University	Complete Genome	2025-01-07		20
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii		GH-Sj1					Annotation submitted by National Marine Biodiversity Institute of Korea	Complete Genome	2021-08-11		7
GCA_013368755.1	ASM1336875v1	Talaromyces rugulosus		W13939					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-06-23		6
GCA_020906515.1	ASM2090651v1	Vanrija pseudolonga					DUCC4014		Annotation submitted by Dankook University	Complete Genome	2021-11-21		8
GCA_001592805.2	ASM159280v2	Peltaster fructicola		LNHT1506					Annotation submitted by Northwest A&F University	Complete Genome	2020-04-14		5
GCA_016097375.2	AlKewell	Ascochyta lentis		Kewell					Annotation submitted by Curtin University	Complete Genome	2025-03-24		23
GCA_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei							Annotation submitted by KAUST	Chromosome	2019-01-30		14
GCA_013402915.1	ASM1340291v1	Zygotorulaspora mrakii		NRRL Y-6702					Annotation submitted by University College Dublin	Complete Genome	2020-07-12		8
GCA_036630325.1	ASM3663032v1	Vairimorpha necatrix					Illinois isolate		Annotation submitted by Umea University	Complete Genome	2024-02-15		12
GCA_038396805.1	Version 1	Chloropicon roscoffensis		RCC1871					Annotation submitted by Universite Laval	Complete Genome	2024-04-20		19
GCA_964275045.1	MOUN0	Monosporozyma unispora							Annotation submitted by Genoscope	Complete Genome	2024-10-10		15
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae					2A		Annotation submitted by National Institutes Of Health	Complete Genome	2021-03-08		17
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis		FJ059					Annotation submitted by Hainan University	Complete Genome	2021-09-24	JAIMJC01	7
GCA_026210745.1	ASM2621074v1	Exobasidium rhododendri		CBS101457					Annotation submitted by Hebei University	Complete Genome	2022-11-16		3
GCA_051132625.1	ASM5113262v1	Hypoxylon texense		DSM 107933					Annotation submitted by Bielefeld University	Complete Genome	2025-06-28		9
GCA_051148585.1	ASM5114858v1	Colletotrichum jinshuiense					EsH8		Annotation submitted by Hubei Academy of Agricultural Sciences	Complete Genome	2024-04-09		15
GCA_024114885.1	ASM2411488v1	Septoria linicola		SE15195					Annotation submitted by INRAE	Complete Genome	2022-07-01		16
GCA_050947055.1	ASM5094705v1	Auxenochlorella protothecoides x Auxenochlorella symbiontica					UTEX 250-A		Annotation submitted by UC Berkeley	Complete Genome	2025-06-17	JBMYHL01	12
GCA_035610405.1	ASM3561040v1	Australozyma saopauloensis		19XY460					Annotation submitted by Peking Union Medical College Hospital	Complete Genome	2024-01-12		8
GCA_963924405.1	CAAN4	[Candida] anglica		29B2s-10					Annotation submitted by Genoscope CEA	Complete Genome	2024-03-09		8
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme					169a		Annotation submitted by Academia Sinica	Complete Genome	2023-11-20		14
GCA_050947655.1	ASM5094765v1	Hanseniaspora osmophila		AWRI865					Annotation submitted by The Australian Wine Research Institute	Complete Genome	2025-06-17	JBMVJF01	7
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)							Annotation submitted by Duke University, Molecular Genetics and Microbiology	Complete Genome	2014-06-05		7
GCA_040256855.1	ASM4025685v1	Hanseniaspora menglaensis		CBS 16921					Annotation submitted by Conway Institute, University College Dublin	Complete Genome	2024-06-20		7
GCA_029542865.1	ASM2954286v1	Malassezia equina		CBS 12830					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_049488355.1	Version 1	Pseudoscourfieldia marina		K-0017					Annotation submitted by Universite Laval	Complete Genome	2025-04-11		45
GCA_051599425.1	Sai_col_YB2330_v1	Saitoella coloradoensis		NRRL_YB-2330					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-19		38
GCA_010111755.1	ASM1011175v1	Nakaseomyces glabratus		ATCC 2001					Annotation submitted by Johns Hopkins Medical Institution	Chromosome	2020-02-03		13
GCA_000006445.2	ASM644v2	Debaryomyces hansenii CBS767		CBS767					Annotation submitted by Genolevures Consortium	Chromosome	2008-09-16		7
GCA_000026365.1	ASM2636v1	Zygosaccharomyces rouxii		CBS 732					Annotation submitted by Genolevures Consortium	Chromosome	2009-06-05		7
GCA_000237345.1	ASM23734v1	Naumovozyma castellii		type strain:CBS 4309					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	Chromosome	2011-08-01		10
GCA_002079055.1	ASM207905v1	Saccharomyces paradoxus		CBS432					Annotation submitted by SC	Chromosome	2017-03-21		16
GCA_000243375.1	ASM24337v1	Torulaspora delbrueckii		type strain:CBS 1146					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2011-12-08		8
GCA_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340		CBS 6340					Annotation submitted by Génolevures Consortium	Chromosome	2009-06-05		8
GCA_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265					R265		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	Chromosome	2018-02-27		14
GCA_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517		type strain:CBS 2517					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-01-17		12
GCA_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola		CBS 10092					Annotation submitted by University of Liverpool, Institute of Integrative Biology	Chromosome	2019-06-06	SRRM01	22
GCA_000315915.1	ASM31591v1	Henningerozyma blattae CBS 6284		type strain:CBS 6284					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-05-11		10
GCA_000348985.1	ASM34898v1	Huiozyma naganishii CBS 8797		type strain:CBS 8797					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-09-05		13
GCA_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421		type strain:CBS 421					Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Chromosome	2012-08-20		11
GCA_000001735.2	TAIR10.1	Arabidopsis thaliana				Columbia			Annotation submitted by The Arabidopsis Information Resource (TAIR)	Chromosome	2018-03-15		5
GCA_000002945.3	ASM294v3	Schizosaccharomyces pombe		972h-					Annotation submitted by S. pombe European Sequencing Consortium (EUPOM)	Chromosome	2007-11-09		3
GCA_000182965.3	ASM18296v3	Candida albicans SC5314		SC5314					CGD A22-s07-m01-r01	Chromosome	2016-10-12		8
GCA_000149245.3	CNA3	Cryptococcus neoformans H99		H99					Annotation submitted by Broad Institute	Chromosome	2014-02-07		14
GCA_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	Chromosome	2009-09-24		8
GCA_037833965.1	MpTak2_v7.1	Marchantia polymorpha subsp. ruderalis		Takaragaike-2				female	Annotation submitted by National Institute of Genetics	Chromosome	2024-03-27		9
GCA_000027005.1	ASM2700v1	Komagataella phaffii GS115		GS115					Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	Chromosome	2009-05-25		4
GCA_000227135.2	ASM22713v2	Leishmania donovani		BPK282A1					Annotation submitted by Wellcome Trust Sanger Institute	Chromosome	2011-12-13		36
GCA_011022315.1	ASM1102231v1	Saccharomyces pastorianus		CBS 1483					Annotation submitted by Delft University of Technology	Chromosome	2020-02-26		31
GCA_051991645.1	ASM5199164v1	Populus x canadensis			Poplar 107				Annotation submitted by Chinese Academy of Forestry	Chromosome	2025-08-13	JBPYXP01	38
GCA_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289		IMI 58289					Annotation submitted by HMGU-IBIS	Chromosome	2013-08-20		12
GCA_000091045.1	ASM9104v1	Cryptococcus deneoformans JEC21		JEC21					Annotation submitted by TIGR	Chromosome	2005-01-07		14
GCA_001625215.2	DH1 v3.0	Daucus carota subsp. sativus			DH1				Annotation submitted by USDA ARS	Chromosome	2023-10-20		9
GCA_026210795.1	ASM2621079v1	Rhizophagus irregularis					DAOM-197198		Annotation submitted by Royal Botanic Gardens Kew	Chromosome	2022-11-16		32
GCA_030408175.1	UTM_Trep_v1.0	Trifolium repens					ACLI19		Annotation submitted by University of Toronto Mississauga	Chromosome	2023-07-05		16
GCA_905216605.1	AARE701a	Arabidopsis arenosa							Annotation submitted by MPI FOR DEVELOPMENTAL BIOLOGY	Chromosome	2021-02-13		8
GCA_000185945.1	ASM18594v1	Cryptococcus gattii WM276		WM276					Annotation submitted by Canada's Michael Smith Genome Sciences Centre	Chromosome	2011-01-12		14
GCA_036885675.1	ASM3688567v1	Vigna mungo					Urdbean		Annotation submitted by National Institute of Plant Genome Research	Chromosome	2024-02-27		11
GCA_000208865.2	ASM20886v2	Neospora caninum Liverpool		Liverpool					Annotation submitted by Wellcome Trust Sanger Institute	Chromosome	2011-03-02		14
GCA_052148995.1	Mxlime_USDA_v1	Citrus x aurantiifolia			key lime				Annotation submitted by USDA-ARS PGEC	Chromosome	2025-08-19	JBPVJO01	18
GCA_902850265.1	PGI_Spodlit_v1	Spodoptera littoralis							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-06-24		31
GCA_030553155.1	ASM3055315v1	Nippostrongylus brasiliensis		MIMR				pooled male and female	Annotation submitted by Cornell University	Chromosome	2023-07-31		6
GCA_000214015.2	version 140606	Ostreococcus tauri		RCC4221					Annotation submitted by Laboratoire Arago, France	Chromosome	2014-10-02	CAID01	20
GCA_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125		Co 90-125					Annotation submitted by Trinity College Dublin	Chromosome	2012-03-14		8
GCA_051938595.1	PrHapA	Phlomoides rotata			S1				Annotation submitted by Chinese Academy of Sciences (CAS)	Chromosome	2025-08-12	JBQBLY01	11
